Epoch,Training Loss,Validation Loss,IoU,Dice,Pixel Accuracy,Precision,Recall,Specificity
60,0.08298360804716746,0.10758183896541595,"tensor(0.8481, device='cuda:0')","tensor(0.9177, device='cuda:0')","tensor(0.9594, device='cuda:0')","tensor(0.9582, device='cuda:0')","tensor(0.8806, device='cuda:0')","tensor(0.9867, device='cuda:0')"
61,0.0830224057038625,0.10320242245992024,"tensor(0.8548, device='cuda:0')","tensor(0.9216, device='cuda:0')","tensor(0.9608, device='cuda:0')","tensor(0.9465, device='cuda:0')","tensor(0.8982, device='cuda:0')","tensor(0.9825, device='cuda:0')"
62,0.08111536337269677,0.10196007043123245,"tensor(0.8577, device='cuda:0')","tensor(0.9233, device='cuda:0')","tensor(0.9612, device='cuda:0')","tensor(0.9367, device='cuda:0')","tensor(0.9105, device='cuda:0')","tensor(0.9788, device='cuda:0')"
63,0.08063408152924643,0.10118159651756287,"tensor(0.8587, device='cuda:0')","tensor(0.9239, device='cuda:0')","tensor(0.9615, device='cuda:0')","tensor(0.9379, device='cuda:0')","tensor(0.9105, device='cuda:0')","tensor(0.9792, device='cuda:0')"
64,0.08003973381386863,0.10189899305502574,"tensor(0.8574, device='cuda:0')","tensor(0.9231, device='cuda:0')","tensor(0.9614, device='cuda:0')","tensor(0.9459, device='cuda:0')","tensor(0.9016, device='cuda:0')","tensor(0.9822, device='cuda:0')"
65,0.07994119988547431,0.10180200884739558,"tensor(0.8584, device='cuda:0')","tensor(0.9237, device='cuda:0')","tensor(0.9615, device='cuda:0')","tensor(0.9401, device='cuda:0')","tensor(0.9080, device='cuda:0')","tensor(0.9800, device='cuda:0')"
66,0.07985543542438084,0.10126698265473048,"tensor(0.8582, device='cuda:0')","tensor(0.9236, device='cuda:0')","tensor(0.9615, device='cuda:0')","tensor(0.9422, device='cuda:0')","tensor(0.9058, device='cuda:0')","tensor(0.9808, device='cuda:0')"
67,0.07915845761696498,0.1012604832649231,"tensor(0.8583, device='cuda:0')","tensor(0.9236, device='cuda:0')","tensor(0.9616, device='cuda:0')","tensor(0.9426, device='cuda:0')","tensor(0.9056, device='cuda:0')","tensor(0.9810, device='cuda:0')"
68,0.07877384705675973,0.1008504827817281,"tensor(0.8596, device='cuda:0')","tensor(0.9244, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0.9412, device='cuda:0')","tensor(0.9083, device='cuda:0')","tensor(0.9804, device='cuda:0')"
69,0.07898723499642478,0.10038174192110698,"tensor(0.8604, device='cuda:0')","tensor(0.9249, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0.9347, device='cuda:0')","tensor(0.9154, device='cuda:0')","tensor(0.9779, device='cuda:0')"
